Date,Capacity,Turnover,Open,High,Low,Close,Change,Transaction
2024-11-01,61545741,62269386415,996.0,1030.0,996.0,1025.0,-5.0,77404
2024-11-04,28225506,29263376605,1030.0,1045.0,1025.0,1040.0,15.0,33492
2024-11-05,33407780,34851674542,1030.0,1055.0,1030.0,1050.0,10.0,28872
2024-11-06,59404980,63110184620,1050.0,1080.0,1040.0,1060.0,10.0,58611
2024-11-07,46030563,48979606039,1050.0,1075.0,1050.0,1065.0,5.0,41583
2024-11-08,38840413,42224017162,1085.0,1090.0,1080.0,1090.0,25.0,58203
2024-11-11,36630666,39467913757,1080.0,1090.0,1070.0,1085.0,-5.0,48859
2024-11-12,54098799,57135037210,1060.0,1065.0,1050.0,1050.0,-35.0,92756
2024-11-13,46420969,48395649023,1045.0,1050.0,1035.0,1035.0,-15.0,75428
2024-11-14,49328914,50864201443,1030.0,1040.0,1025.0,1035.0,0.0,62545
2024-11-15,37405855,38824519360,1040.0,1045.0,1030.0,1035.0,0.0,38669
2024-11-18,33583180,34422999050,1030.0,1035.0,1020.0,1025.0,-10.0,56311
2024-11-19,25497606,26433399155,1030.0,1045.0,1025.0,1040.0,15.0,26315
2024-11-20,37136197,38382938040,1045.0,1050.0,1020.0,1025.0,-15.0,53272
